"playDispNm","playPos","sum(GP)","sum(playMin)","sum(playPTS)","sum(playAST)","sum(playTO)","sum(playSTL)","sum(playBLK)","sum(playFGA)","sum(playFGM)","sum(play3PA)","sum(play3PM)","sum(playFTA)","sum(playFTM)","sum(playTRB)","sum(TotPoss)","TotGP","playMPG","playPTS.36","playAST.36","playTO.36","playSTL.36","playBLK.36","playFGA.36","playFGM.36","playFGp.36","play3PA.36","play3PM.36","play3Pp.36","playFTA.36","playFTM.36","playFTp.36","playTRB.36","playTotPoss.36"
"Malik Beasley","SG",55,583,196,31,24,15,7,178,73,82,28,33,22,71,177.928808802571,55,381.6,12.1029159519726,1.91423670668954,1.4819897084048,0.926243567753002,0.432246998284734,10.991423670669,4.50771869639794,0.410112359550562,5.06346483704974,1.72898799313894,0.341463414634146,2.0377358490566,1.35849056603774,0.666666666666667,4.38421955403087,10.9870276447557
"Malik Monk","SG",60,850,419,91,47,20,9,423,152,242,83,38,32,67,413.163622327231,60,510,17.7458823529412,3.85411764705882,1.99058823529412,0.847058823529412,0.381176470588235,17.9152941176471,6.43764705882353,0.359338061465721,10.2494117647059,3.51529411764706,0.34297520661157,1.60941176470588,1.35529411764706,0.842105263157895,2.83764705882353,17.4986945926827
"Manu Ginóbili","SG",65,1297,576,163,105,43,16,463,201,192,64,131,110,142,546.370666684571,65,718.338461538462,15.9876638396299,4.5242868157286,2.91441788743254,1.19352351580571,0.444101773323053,12.8511950655359,5.57902852737086,0.434125269978402,5.32922127987664,1.77640709329221,0.333333333333333,3.6360832690825,3.05319969159599,0.83969465648855,3.9414032382421,15.1652613728948
"Marc Gasol","C",73,2409,1258,305,195,54,102,1033,434,320,109,337,281,592,1223.17778448531,73,1188,18.799501867995,4.55790784557908,2.91407222914072,0.806973848069738,1.52428393524284,15.4371108343711,6.48567870485679,0.420135527589545,4.78206724782067,1.62889165628892,0.340625,5.03611457036115,4.19925280199253,0.833827893175074,8.84682440846824,18.2791200670283
"Marcin Gortat","C",82,2080,690,151,99,40,61,560,290,0,0,163,110,622,671.488900073018,82,913.170731707317,11.9423076923077,2.61346153846154,1.71346153846154,0.692307692307692,1.05576923076923,9.69230769230769,5.01923076923077,0.517857142857143,0,0,NA,2.82115384615385,1.90384615384615,0.674846625766871,10.7653846153846,11.6219232704945
"Marco Belinelli","SG",80,1945,971,148,94,64,11,763,337,395,149,163,148,151,762.224202568212,80,875.25,17.972236503856,2.73933161953728,1.73984575835476,1.18457583547558,0.203598971722365,14.1223650385604,6.23753213367609,0.441677588466579,7.31105398457584,2.75784061696658,0.377215189873418,3.01696658097686,2.73933161953728,0.907975460122699,2.79485861182519,14.1080058058898
"Marcus Georges-Hunt","SG",29,215,54,7,3,6,0,46,19,13,3,21,13,14,47.6936893878146,29,266.896551724138,9.04186046511628,1.17209302325581,0.502325581395349,1.0046511627907,0,7.70232558139535,3.18139534883721,0.41304347826087,2.17674418604651,0.502325581395349,0.230769230769231,3.51627906976744,2.17674418604651,0.619047619047619,2.34418604651163,7.98592008354104
"Marcus Morris","PF",54,1446,734,72,65,35,12,611,262,234,86,154,124,289,623.792577128998,54,964,18.2738589211618,1.79253112033195,1.61825726141079,0.871369294605809,0.298755186721992,15.2116182572614,6.52282157676349,0.428805237315876,5.82572614107884,2.14107883817427,0.367521367521367,3.83402489626556,3.08713692946058,0.805194805194805,7.19502074688797,15.5301056546639
"Marcus Smart","PG",54,1615,550,259,129,71,23,515,189,249,75,133,97,189,667.285640390509,54,1076.66666666667,12.2600619195046,5.7733746130031,2.87554179566563,1.58266253869969,0.512693498452012,11.4798761609907,4.21300309597523,0.366990291262136,5.55046439628483,1.671826625387,0.301204819277108,2.96470588235294,2.16222910216718,0.729323308270677,4.21300309597523,14.8744786712435
"Mario Chalmers","PG",66,1426,507,197,117,79,14,443,168,191,53,138,118,157,564.990197850349,66,777.818181818182,12.7994389901823,4.97335203366059,2.95371669004208,1.99438990182328,0.35343618513324,11.1837307152875,4.24123422159888,0.379232505643341,4.8218793828892,1.33800841514727,0.277486910994764,3.48387096774194,2.97896213183731,0.855072463768116,3.96353436185133,14.2634271547073
"Mario Hezonja","SF",21,586,235,46,32,29,13,215,86,100,30,40,33,96,231.523275990017,21,1004.57142857143,14.4368600682594,2.8259385665529,1.96587030716724,1.78156996587031,0.798634812286689,13.2081911262799,5.28327645051194,0.4,6.14334470989761,1.84300341296928,0.3,2.45733788395904,2.02730375426621,0.825,5.89761092150171,14.2232729277143
"Mario Hezonja","SG",54,1068,487,61,56,53,17,401,187,167,60,65,53,185,411.887994278569,54,712,16.4157303370787,2.0561797752809,1.8876404494382,1.78651685393258,0.573033707865169,13.5168539325843,6.30337078651685,0.466334164588529,5.62921348314607,2.02247191011236,0.359281437125749,2.19101123595506,1.78651685393258,0.815384615384615,6.23595505617978,13.8838649756821
"Markieff Morris","PF",73,1967,841,142,126,57,36,687,330,207,76,128,105,411,741.24075827433,73,970.027397260274,15.3919674631418,2.59888154550076,2.30604982206406,1.04321301474326,0.658871377732588,12.5734621250635,6.03965429588205,0.480349344978166,3.78851042196238,1.39095068632435,0.367149758454106,2.34265378749365,1.92170818505338,0.8203125,7.52211489578038,13.5661755454377
"Marquese Chriss","PF",66,1406,512,77,98,48,61,439,185,176,50,152,92,376,530.095323603492,66,766.909090909091,13.1095305832148,1.97155049786629,2.50924608819346,1.22901849217639,1.56187766714082,11.2403982930299,4.73684210526316,0.421412300683371,4.50640113798009,1.28022759601707,0.284090909090909,3.89189189189189,2.35561877667141,0.605263157894737,9.62731152204836,13.5728532359358
